id,idType,label,canonicalFile
ancestor-g1-allen-lawrence-gurney,ancestor,Allen Lawrence Gurney,data/ancestors.json
ancestor-g8-amos-gurney,ancestor,Amos Gurney,data/ancestors.json
ancestor-g17-anthony-gurney,ancestor,Anthony Gurney,data/ancestors.json
ancestor-g10-benjamin-gurney,ancestor,Benjamin Gurney,data/ancestors.json
ancestor-g11-benjamin-gurney,ancestor,Benjamin Gurney,data/ancestors.json
ancestor-g9-benjamin-gurney,ancestor,Benjamin Gurney,data/ancestors.json
ancestor-g6-brigadier-general-william-gurney,ancestor,Brigadier General William Gurney,data/ancestors.json
ancestor-g23-edmund-gurney,ancestor,Edmund Gournay,data/ancestors.json
ancestor-g-37-eudes-odon-de-gournay,ancestor,Eudes (Odon) de Gournay,data/ancestors.json
ancestor-g14-francis-gurney,ancestor,Francis Gurney,data/ancestors.json
ancestor-g16-francis-gurney,ancestor,Francis Gurney,data/ancestors.json
ancestor-g32-gerard-de-gournay,ancestor,Gerard de Gournay,data/ancestors.json
ancestor-g15-henry-gurney,ancestor,Henry Gurnay,data/ancestors.json
ancestor-g36-hugh-de-gournay-i,ancestor,Hugh de Gournay I,data/ancestors.json
ancestor-g34-hugh-de-gournay-ii,ancestor,Hugh de Gournay II,data/ancestors.json
ancestor-g33-hugh-de-gournay-iii,ancestor,Hugh de Gournay III,data/ancestors.json
ancestor-g25-john-de-gournay-iii,ancestor,John de Gournay III,data/ancestors.json
ancestor-g24-john-de-gournay-iv,ancestor,John de Gournay IV,data/ancestors.json
ancestor-g13-john-gurney-1,ancestor,John Gurney,data/ancestors.json
ancestor-g2-lester-hayes-gurney,ancestor,Lester Hayes Gurney,data/ancestors.json
ancestor-g5-lester-sawyer-gurney,ancestor,Lester Sawyer Gurney,data/ancestors.json
ancestor-g3-lester-sawyer-gurney-iii,ancestor,Lester Sawyer Gurney III,data/ancestors.json
ancestor-g4-lester-sawyer-gurney-jr,ancestor,Lester Sawyer Gurney Jr.,data/ancestors.json
ancestor-g35-renaud-de-gournay,ancestor,Renaud de Gournay,data/ancestors.json
ancestor-g12-richard-gurney,ancestor,Richard Gurney,data/ancestors.json
ancestor-g22-robert-gournay,ancestor,Robert Gournay,data/ancestors.json
ancestor-g27-sir-john-de-gournay-i-knt,ancestor,"Sir John de Gournay I, Knt.",data/ancestors.json
ancestor-g29-matthew-de-gournay,ancestor,"Sir Matthew de Gournay, Knt.",data/ancestors.json
ancestor-g30-william-de-gournay-i,ancestor,"Sir William de Gournay I, Knt.",data/ancestors.json
ancestor-g28-william-de-gournay-ii,ancestor,"Sir William de Gournay II, Knt.",data/ancestors.json
ancestor-g26-sir-william-de-gournay-iii-knt,ancestor,"Sir William de Gournay III, Knt.",data/ancestors.json
ancestor-g21-thomas-gournay-i,ancestor,Thomas Gournay I,data/ancestors.json
ancestor-g20-thomas-gournay-ii,ancestor,Thomas Gournay II,data/ancestors.json
ancestor-g-38-unknown-scandinavian-ancestors,ancestor,Unknown Scandinavian ancestors,data/ancestors.json
ancestor-g31-walter-de-gournay,ancestor,Walter de Gournay,data/ancestors.json
ancestor-g19-william-gurney-iv,ancestor,William Gurney IV,data/ancestors.json
