placeId,name,placeType,filename,linkedRecordIds,aliases
place-15-avenue-c-manhattan-new-york-usa,"15 Avenue C, Manhattan, New York, USA",address,15-avenue-c-ny.md,ancestor-g6-brigadier-general-william-gurney,15 Avenue C
place-155-henry-street-manhattan-new-york-usa,"155 Henry Street, Manhattan, New York, USA",address,155-henry-street-ny.md,ancestor-g6-brigadier-general-william-gurney,155 Henry Street
place-177-west-48th-street-manhattan-new-york-usa,"177 West 48th Street, Manhattan, New York, USA",address,177-west-48th-street-ny.md,ancestor-g6-brigadier-general-william-gurney,177 West 48th Street
place-231-fifth-avenue-manhattan-new-york-usa,"231 Fifth Avenue, Manhattan, New York, USA",address,231-fifth-avenue-ny.md,ancestor-g6-brigadier-general-william-gurney,231 Fifth Avenue
place-51-main-street-cummington-massachusetts-usa,"51 Main Street, Cummington, Massachusetts, USA",building,51-main-st-cummington-ma.md,ancestor-g9-benjamin-gurney,"Gurney, Ase House;Mitchell, William Ward House;51 Main St, Cummington;MACRIS CUM.115"
place-54-hudson-street-manhattan-new-york-usa,"54 Hudson Street, Manhattan, New York, USA",address,54-hudson-street-ny.md,ancestor-g6-brigadier-general-william-gurney;ancestor-g6-brigadier-general-william-gurney,54 Hudson Street
place-55-pike-street-manhattan-new-york-usa,"55 Pike Street, Manhattan, New York, USA",address,55-pike-street-ny.md,ancestor-g6-brigadier-general-william-gurney,55 Pike Street
place-75-mount-road-cummington-massachusetts-usa,"75 Mount Road, Cummington, Massachusetts, USA",building,75-mount-rd-cummington-ma.md,ancestor-g9-benjamin-gurney,"Gurney, Asa House;75 Mount Rd, Cummington;MACRIS CUM.151"
place-le-bec-hellouin-normandy-france,"Abbey of Bec / Le Bec-Hellouin, Normandy, France",abbey / ecclesiastical site,le-bec-hellouin.md,ancestor-g33-hugh-de-gournay-iii;ancestor-g32-gerard-de-gournay,Le Bec-Hellouin;Abbey of Bec;Abbaye Notre-Dame du Bec;Bec Abbey;Abbaye du Bec-Hellouin
place-abington-massachusetts-usa,"Abington, Massachusetts, USA",locality,abington-ma.md,ancestor-g9-benjamin-gurney;ancestor-g10-benjamin-gurney;ancestor-g11-benjamin-gurney;collateral-g9-nathan-gurney-abington,"Abington, MA;Old Abington, Plymouth County, Massachusetts;Abington, Plymouth County, MA;First Church of Abington;First Church of Abington (C.R.1);C.R.1, First Church of Abington"
place-ardleigh-essex-england,"Ardleigh, Essex, England",locality,ardleigh.md,ancestor-g33-hugh-de-gournay-iii,"Ardleigh, Essex"
place-attleborough-norfolk-england,"Attleborough, Norfolk, England",locality,attleborough.md,ancestor-g15-henry-gurney,"Attleborough, Norfolk"
place-baconsthorpe-castle-norfolk-england,"Baconsthorpe Castle, Baconsthorpe, Norfolk, England",historic site,baconsthorpe-castle.md,ancestor-g18-william-gurney-v;ancestor-g19-william-gurney-iv;ancestor-g20-thomas-gournay-ii,"Baconsthorpe Castle;Baconsthorpe Hall;Wood Hall, Baconsthorpe;Baconsthorpe Castle moated site with fortified house, gatehouse, courtyards and formal gardens"
place-bedfordshire-england,"Bedfordshire, England",region,bedfordshire.md,collateral-g32-hugh-de-gournay-iv-senior-baron-line,Bedfordshire
place-billerica-massachusetts-usa,"Billerica, Massachusetts, USA",locality,billerica-ma.md,ancestor-g13-john-gurney-1,"Billerica, MA;Shawshin;Dudley Farm"
place-bosc-hyons-boshyon-normandy-france,"Bosc-Hyons (medieval Boshyon / Boscus Hugonis), Seine-Maritime, Normandy, France",commune / former manor and woodland,bosc-hyons.md,ancestor-g33-hugh-de-gournay-iii;collateral-g32-hugh-de-gournay-iv-senior-baron-line,Bosc-Hyons;Boshyon;Boscus Hugonis;Bosc-Hugon;Bois-Hugues;Bois Hugues;Boschyon;Bos-Huon;Bos-Hyon;Bos-Hyvon;Saint-Michel du Boschyon
place-braintree-massachusetts-usa,"Braintree, Massachusetts, USA",locality,braintree-ma.md,ancestor-g9-benjamin-gurney;ancestor-g11-benjamin-gurney;ancestor-g13-john-gurney-1;ancestor-g13-john-gurney-1,"Braintree, MA;Braintree, Norfolk County, MA;Braintree First Church;Mr. Niles of Braintree"
place-bridgewater-massachusetts-usa,"Bridgewater, Massachusetts, USA",locality,bridgewater-ma.md,ancestor-g9-benjamin-gurney;ancestor-g10-benjamin-gurney;ancestor-g11-benjamin-gurney;ancestor-g8-amos-gurney,"Bridgewater, MA;Bridgewater, Plymouth County, MA;Old Bridgewater;Bridgewater area;East Bridgewater line;Little Comfort boundary context"
place-buckinghamshire-england,"Buckinghamshire, England",region,buckinghamshire.md,collateral-g32-hugh-de-gournay-iv-senior-baron-line,Buckinghamshire
place-burnham-thorpe-norfolk-england,"Burnham Thorpe, Norfolk, England",locality,burnham-thorpe.md,ancestor-g19-william-gurney-iv;ancestor-g19-william-gurney-iv,"Burnham Thorpe, Norfolk"
place-la-ferte-butte-feodale-normandy-france,"Butte féodale / Château de La Ferté, La Ferté-Saint-Samson, Normandy, France",castle / motte / fortification,la-ferte-butte-feodale.md,ancestor-g35-renaud-de-gournay;ancestor-g34-hugh-de-gournay-ii;ancestor-g32-gerard-de-gournay,Butte féodale de La Ferté-Saint-Samson;Château de La Ferté;La Ferté castle;Motte of La Ferté;Ferté fortress
place-caister-on-sea-norfolk-england,"Caister-on-Sea, Norfolk, England",locality,caister-on-sea.md,ancestor-g32-gerard-de-gournay;ancestor-g32-gerard-de-gournay,"Caister;Caister-on-Sea, Norfolk"
place-cantley-norfolk-england,"Cantley, Norfolk, England",locality,cantley.md,ancestor-g32-gerard-de-gournay,"Cantley, Norfolk"
place-charleston-south-carolina-usa,"Charleston, South Carolina, USA",locality,charleston-sc.md,ancestor-g6-brigadier-general-william-gurney,"Charleston, SC"
place-chatham-new-jersey-usa,"Chatham, New Jersey, USA",locality,chatham-nj.md,ancestor-g3-lester-sawyer-gurney-iii,"Chatham, NJ"
place-city-of-london-england,"City of London, England",locality,city-of-london.md,ancestor-g14-francis-gurney;ancestor-g14-francis-gurney;collateral-g23-sir-john-gurney-knt-d-1408-collateral;collateral-g23-sir-john-gurney-knt-d-1408-collateral,City of London
place-collegiale-saint-hildevert-gournay-en-bray-normandy-france,"Collégiale Saint-Hildevert, Gournay-en-Bray, Normandy, France",church / collegiate church,collegiale-saint-hildevert-gournay.md,ancestor-g36-hugh-de-gournay-i,"Collégiale Saint-Hildevert;Saint-Hildevert, Gournay-en-Bray;Church of Saint-Hildevert;St Hildevert, Gournay;Église Saint-Hildebert"
place-conquets-hue-de-gournay-beauvaisis-france,"Conquêts Hue de Gournay / Beauvaisis frontier acquisitions, France",territorial block / aggregate landholding,beauvaisis-frontier-acquisitions.md,ancestor-g33-hugh-de-gournay-iii,"Conquêts Hue de Gournay;Les Conquêts Hue de Gournay;Beauvaisis frontier acquisitions;24 villages;twenty-four parishes;twenty-four villages;Conquests of Hugh de Gournay;Specialties of Beauvaisis;Speciautez de Beauvoisis;Vingt quatre Paroisses, Hameaux & Villages;Paroisses au-delà de l'Epte"
place-cottentray-avesnes-en-bray-normandy-france,"Cottentray (Avesnes-en-Bray), Normandy, France",hamlet / fief fragment,cottentray-avesnes-en-bray.md,collateral-g32-hugh-de-gournay-iv-senior-baron-line;collateral-g32-hugh-de-gournay-v-senior-baron-line,Cottentray;Cottentray hamlet;Avesnes-en-Bray Cottentray quarter-fief;Clos des Anglais
place-cummington-massachusetts-usa,"Cummington, Massachusetts, USA",locality,cummington-ma.md,ancestor-g7-willis-gurney;ancestor-g8-amos-gurney;ancestor-g8-amos-gurney;ancestor-g9-benjamin-gurney;ancestor-g9-benjamin-gurney,"Cummington, MA"
place-dexter-michigan-usa,"Dexter, Michigan, USA",locality,dexter-mi.md,collateral-g0-soren-and-ebba-gurney;collateral-g1-ken-gurney-allens-brother,"Dexter, MI"
place-east-dereham-norfolk-england,"East Dereham, Norfolk, England",locality,east-dereham.md,ancestor-g14-francis-gurney;ancestor-g13-john-gurney-1,East Dereham;Dereham
place-east-field-weymouth-massachusetts-usa,"East Field, Weymouth, Massachusetts, USA",locality,east-field-weymouth-ma.md,ancestor-g13-john-gurney-1,"The East Field, Weymouth"
place-essex-england,"Essex, England",region,essex.md,ancestor-g33-hugh-de-gournay-iii,Essex
place-flegg-norfolk-england,"Flegg, Norfolk, England",locality,flegg.md,collateral-g32-hugh-de-gournay-v-senior-baron-line;collateral-g32-hugh-de-gournay-v-senior-baron-line,"Flegg, Norfolk"
place-flushing-queens-new-york-usa,"Flushing, Queens, New York, USA",locality,flushing-ny.md,ancestor-g6-brigadier-general-william-gurney;ancestor-g6-brigadier-general-william-gurney;ancestor-g7-willis-gurney;ancestor-g7-willis-gurney,"Flushing, NY;Flushing, Queens, NY;Flushing, Queens;The Alley;Alley Creek;Alley Pond;Little Neck Bay;Ireland Road"
place-fordham-essex-england,"Fordham, Essex, England",locality,fordham.md,ancestor-g33-hugh-de-gournay-iii,"Fordham, Essex"
place-fort-wayne-indiana-usa,"Fort Wayne, Indiana, USA",locality,fort-wayne-in.md,ancestor-g2-lester-hayes-gurney,"Fort Wayne, IN"
place-g33-bec-gournay-endowment-cluster-pays-de-bray-france,"G33 Bec / Gournay endowment cluster, Pays de Bray, France",aggregate ecclesiastical endowment,g33-bec-gournay-endowment-cluster.md,ancestor-g33-hugh-de-gournay-iii;ancestor-g32-gerard-de-gournay,"Hugh III Bec endowment cluster;Gournay-Bec donation geography;Bosc-Girard, Braimontier, Elbeuf-en-Bray, La Rozière, Merval, Lodencourt;Bec tithes of Gournay, La Ferté, Gaillefontaine, Merval, Lodencourt"
place-gaillefontaine-castle-domain-normandy-france,"Gaillefontaine castle / domain, Normandy, France",castle site / domain / motte,gaillefontaine.md,ancestor-g32-gerard-de-gournay;ancestor-g36-hugh-de-gournay-i,Gaillefontaine;Goisleni Fontem;Goisleni Fontem / Gaillefontaine;Domaine de Gaillefontaine;Château de Gaillefontaine;Gaillefontaine motte
place-gournay-fortifications-tour-du-rempart-normandy-france,"Gournay fortifications / Tour du Rempart, Gournay-en-Bray, Normandy, France",fortification / tower remnant,gournay-fortifications-tour-du-rempart.md,ancestor-g36-hugh-de-gournay-i;ancestor-g34-hugh-de-gournay-ii;ancestor-g32-gerard-de-gournay,La Tour du Rempart;Tour du Rempart;Gournay fortifications;Gournay medieval walls;Gournay defensive works;La Tour Hue;Château de Gournay
place-gournay-en-bray-normandy-france,"Gournay-en-Bray, Normandy, France",locality / seigneurial honor,gournay-en-bray.md,ancestor-g-37-eudes-odon-de-gournay;ancestor-g36-hugh-de-gournay-i;ancestor-g35-renaud-de-gournay;ancestor-g34-hugh-de-gournay-ii;ancestor-g33-hugh-de-gournay-iii;ancestor-g32-gerard-de-gournay;collateral-g32-hugh-de-gournay-v-senior-baron-line;collateral-g32-hugh-de-gournay-iv-senior-baron-line,"Gournay;Gournay-en-Bray;Gournay-en-Bray, Normandy;Gornacum;Gornaio;Gournay honor;Seigneurie de Gournay"
place-great-ellingham-norfolk-england,"Great Ellingham, Norfolk, England",locality,great-ellingham.md,ancestor-g15-henry-gurney;ancestor-g15-henry-gurney;ancestor-g16-francis-gurney;ancestor-g17-anthony-gurney;ancestor-g17-anthony-gurney,"Great Ellingham, Norfolk"
place-whitmans-pond-east-side-weymouth-massachusetts-usa,"Great Lots east of Whitman's Pond (Fresh Pond), Weymouth, Massachusetts, USA",locality,whitmans-pond-east-side-weymouth-ma.md,ancestor-g13-john-gurney-1,"East side of Whitman's Pond, Weymouth;Fresh Pond, Weymouth;East side of Great Pond, Weymouth"
place-gurneys-manor-hingham-norfolk-england,"Gurney's Manor, Hingham, Norfolk, England",building,hingham-norfolk.md,ancestor-g15-henry-gurney;ancestor-g17-anthony-gurney;ancestor-g18-william-gurney-v,Gurney's Manor;Gurneys Manor
place-hackettstown-new-jersey-usa,"Hackettstown, New Jersey, USA",locality,hackettstown-nj.md,ancestor-g3-lester-sawyer-gurney-iii,"Hackettstown, NJ"
place-hardingham-norfolk-england,"Hardingham, Norfolk, England",locality,hardingham.md,ancestor-g18-william-gurney-v;ancestor-g23-edmund-gurney;ancestor-g23-edmund-gurney;ancestor-g24-john-de-gournay-iv;ancestor-g25-john-de-gournay-iii;ancestor-g26-sir-william-de-gournay-iii-knt;ancestor-g27-sir-john-de-gournay-i-knt;ancestor-g28-william-de-gournay-ii;ancestor-g29-matthew-de-gournay;ancestor-g29-matthew-de-gournay;ancestor-g30-william-de-gournay-i;ancestor-g30-william-de-gournay-i;ancestor-g31-walter-de-gournay;collateral-g23-sir-john-gurney-knt-d-1408-collateral;collateral-g23-sir-john-gurney-knt-d-1408-collateral,"Hardingham, Norfolk;Swathing;Swathings;Low Street;Low Street, Hardingham;Manor of Gurneys & Swathing;Gurneys & Swathing"
place-harpley-norfolk-england,"Harpley, Norfolk, England",locality,harpley.md,ancestor-g15-henry-gurney;ancestor-g20-thomas-gournay-ii;ancestor-g21-thomas-gournay-i;ancestor-g23-edmund-gurney;ancestor-g23-edmund-gurney;ancestor-g24-john-de-gournay-iv;ancestor-g24-john-de-gournay-iv;ancestor-g25-john-de-gournay-iii;ancestor-g25-john-de-gournay-iii;ancestor-g26-sir-william-de-gournay-iii-knt;ancestor-g26-sir-william-de-gournay-iii-knt;ancestor-g27-sir-john-de-gournay-i-knt;ancestor-g27-sir-john-de-gournay-i-knt;ancestor-g28-william-de-gournay-ii;ancestor-g28-william-de-gournay-ii;ancestor-g29-matthew-de-gournay;ancestor-g29-matthew-de-gournay;collateral-g23-sir-john-gurney-knt-d-1408-collateral;collateral-g23-sir-john-gurney-knt-d-1408-collateral;ancestor-g18-william-gurney-v;collateral-g14-edmund-gurney-divine,"Harpley, Norfolk"
