sourceId,shortTitle,corpusStatus,corpusPath,mediaPath,validationPath
aalt-cp40-edward-i,"AALT CP 40, Edward I",none,,,sources/validations/aalt-cp40-edward-i.md
abington-vr-1850-vol1,"Abington Vital Records to 1850, vol. 1",partial,,,sources/validations/benjamin-gurney-harden-research-tables-2026-04.md
accessgenealogy-lysander-franklin-gurney,"AccessGenealogy, Lysander Franklin Gurney",none,,,sources/validations/accessgenealogy-lysander-franklin-gurney.md
acl-robert-gurney-will-1625,Archdeaconry Court of London - Robert Gurney will (1625),partial,sources/corpus_supplement/robert-gurney-1625-will-full-working-transcription.md,sources/media/acl-robert-gurney-will-1625,sources/validations/acl-robert-gurney-will-1625.md
actors-fund-of-america-history,Actors' Fund of America history (Wikipedia; NYU finding aid),none,,,
actors-order-of-friendship-history,Actors' Order of Friendship (Oxford Reference),none,,,
adams-genesis-massachusetts-town-1892,"C. F. Adams, Genesis of the Massachusetts Town (1892)",extract,,,sources/validations/adams-genesis-massachusetts-town-1892.md
adams-history-of-braintree-1891,"C. F. Adams, History of Braintree (1891)",extract,,,sources/validations/adams-history-of-braintree-1891.md
alumni-cantabrigienses-venn,Alumni Cantabrigienses (Venn) — ACAD database,none,,,sources/validations/alumni-cantabrigienses-venn.md
american-biography-cyclopedia-v26-gurney-1926,"American Biography, vol. 26 - Gurney",none,,,sources/validations/american-biography-cyclopedia-v26-gurney-1926.md
ancestry-child-apprentices-christs-hospital-1617-1778,"Ancestry / Coldham, Child Apprentices in America from Christ's Hospital, London, 1617–1778",none,,,sources/validations/ancestry-child-apprentices-christs-hospital-1617-1778.md
ancestry-emigrants-in-bondage-1614-1775,"Ancestry / Coldham, Emigrants in Bondage, 1614–1775",none,,,sources/validations/ancestry-emigrants-in-bondage-1614-1775.md
ancestry-english-adventurers-emigrants-1609-1660,"Ancestry / Coldham, English Adventurers and Emigrants, 1609–1660",none,,,sources/validations/ancestry-english-adventurers-emigrants-1609-1660.md
ancestry-norfolk-1535-1812,"Ancestry / NRO, Norfolk Church of England Baptism, Marriages and Burials, 1535-1812",,,sources/media/garveston-parish-register-fts/README.md,
