feature,vertex_order,longitude,latitude
Older Gournay core,1,1.69,49.555
Older Gournay core,2,1.75,49.555
Older Gournay core,3,1.76,49.47
Older Gournay core,4,1.685,49.47
Older Gournay core,5,1.69,49.555
Beauvaisis acquisitions / 24 villages,1,1.745,49.61
Beauvaisis acquisitions / 24 villages,2,1.845,49.606
Beauvaisis acquisitions / 24 villages,3,1.872,49.545
Beauvaisis acquisitions / 24 villages,4,1.79,49.505
Beauvaisis acquisitions / 24 villages,5,1.742,49.512
Beauvaisis acquisitions / 24 villages,6,1.745,49.61
Epte frontier line,1,1.715,49.6
Epte frontier line,2,1.708,49.548
Epte frontier line,3,1.724,49.521
Epte frontier line,4,1.725,49.483
Epte frontier line,5,1.705,49.44
