filename,source_pdf,pdf_page,printed_page_or_placement,caption,applicable_ancestors,applicable_places,scope_judgment,description,crop_note,width_px,height_px
part1_norman_origins/images/dg_part1_p001_frontispiece_title_scene.png,Daniel Gurney Complete in PDF first half.pdf,1,"Frontispiece / title plate, before Introduction",Frontispiece: The Record of the House of Gournay,Book-level artifact; early Gournay/Gurney line generally,Gournay visual tradition; St Hildevert / medieval-ecclesiastical setting implied,Context image - book/frontispiece,"The frontispiece frames the title within a medieval stone-arch setting, with armed and ecclesiastical figures and recumbent monumental forms. It is not tied to a single ancestor, but it visually announces Daniel Gurney's antiquarian framing of the family as a Norman, military, and ecclesiastical house. It can support future site imagery that introduces the whole Record rather than one specific generation.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,2107,2318
part1_norman_origins/images/dg_part1_p007_part1_norman_warriors.png,Daniel Gurney Complete in PDF first half.pdf,7,Part I title page / unnumbered plate before printed p.3,Part I title vignette - Norman warriors / cavalry,Eudes of Gournay (working G37); early Norman Gournay line,Normandy; Neustria; Gournay-en-Bray / Pays de Bray,Direct-line origin context,"The Part I opening vignette accompanies Daniel's section on the Gournays in Normandy, from the settlement of the Normans in Neustria under Rollo to the loss of Normandy under King John. The surrounding introduction says tradition assigned Gournay and the Norman part of Le Bray to Eudes, a follower of Rollo, and that Hugh de Gournay and his son later accompanied William the Conqueror to England. The image is useful for future reconstruction of the early Norman-warrior setting.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1235,760
part1_norman_origins/images/dg_part1_p011_map_pays_de_bray.png,Daniel Gurney Complete in PDF first half.pdf,11,Map plate between printed pp.4-5,Map of the Pays de Bray,Eudes (working G37); Renaud (working G36); Hugh I-III de Gournay (working G35-G33); Gerard de Gournay (G32),Pays de Bray; Gournay; La Ferte; Gaillefontaine; Argueil; Epte valley,Direct ancestral-region map,"This map visualizes the Pays de Bray, the frontier territory Daniel identifies as the Norman base of the Lords of Gournay. Adjacent text describes the district as forest, bocage, pasture, arable land, and fortified frontier country bounded by the Pays de Caux, the Vexin, and France across the Epte. It is one of the most important locational images for the early direct line because it shows the territorial stage on which the family first appears.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,3203,2815
part1_norman_origins/images/dg_part1_p016_west_end_st_hildevert.png,Daniel Gurney Complete in PDF first half.pdf,16,Printed p.8,West end of the Church of St. Hildevert,Early Lords of Gournay generally; Hugh de Gournay III (working G33) and earlier tradition,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place / religious-house context,"The adjacent text introduces St. Hildevert as the principal church at Gournay, both parochial and conventual. Daniel notes that the church foundation was traditionally very ancient and that the chapter was associated with Bref-Moutier before removal to Gournay. The west-end drawing is therefore central to the Gournay-en-Bray setting where the early lords exercised power and patronage.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1312,1700
part1_norman_origins/images/dg_part1_p017_south_side_st_hildevert.png,Daniel Gurney Complete in PDF first half.pdf,17,Printed p.9,South side of the Church of St. Hildevert,Early Lords of Gournay; Hugh de Gournay III (working G33) context,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place / religious-house context,"The surrounding narrative states that tradition credited one of the later Hugh de Gournays with beginning the present church, while Daniel cautions that the architecture itself suggests portions were older. The image shows the south side of the church and is directly relevant to the family's ecclesiastical patronage and the relic cult of St. Hildevert at Gournay.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1638,1419
part1_norman_origins/images/dg_part1_p018_st_hildevert_capital_details.png,Daniel Gurney Complete in PDF first half.pdf,18,Printed p.10,St. Hildevert architectural capital details,Early Lords of Gournay; Gournay-en-Bray line generally,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place architectural detail,"Daniel discusses the architecture of St. Hildevert and cautions that terms like ""rebuilt"" may mean repair rather than total reconstruction. The small drawings preserve architectural details from the church, supporting reconstruction of its Norman and early pointed features. These details are useful for image-generation prompts because they show stone-carving, capitals, and church ornament rather than only exterior massing.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1792,540
part1_norman_origins/images/dg_part1_p019_st_hildevert_statue.png,Daniel Gurney Complete in PDF first half.pdf,19,Plate between printed pp.10-12,Figure/statue of St. Hildevert,Early Lords of Gournay; Hugh de Gournay III (working G33) context,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place religious context,"This plate represents St. Hildevert, the saint whose relics were central to the Gournay church tradition. The adjacent account recounts the legend that the relics became immovable at Gournay and that the local lord Hugh and his wife were involved in the event, after which the church was re-consecrated under St. Hildevert's invocation. It is high-value narrative context for the family's religious identity at Gournay.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1066,1853
part1_norman_origins/images/dg_part1_p020_st_hildevert_interior.png,Daniel Gurney Complete in PDF first half.pdf,20,Printed p.12,Interior of the Church of St. Hildevert,Early Lords of Gournay; Hugh de Gournay III (working G33) context,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place interior,"The adjacent text describes the west front as early pointed architecture and notes alterations to portals, porches, windows, and towers. The interior view is useful for future reconstruction because it shows the spatial character of the church associated with Gournay lordship, relic translation, and monastic/collegiate worship.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1080,1300
part1_norman_origins/images/dg_part1_p020_st_hildevert_capital_left.png,Daniel Gurney Complete in PDF first half.pdf,20,Printed p.12,St. Hildevert capital detail - left,Early Lords of Gournay; Gournay-en-Bray line generally,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place architectural detail,Daniel emphasizes that St. Hildevert contains remarkable sculptured capitals. This detail crop preserves one of those architectural motifs and should be useful for image prompts involving the church interior or Norman/early Gothic stonework connected to the Gournay foundation tradition.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,820,720
part1_norman_origins/images/dg_part1_p020_st_hildevert_capital_right.png,Daniel Gurney Complete in PDF first half.pdf,20,Printed p.12,St. Hildevert capital detail - right,Early Lords of Gournay; Gournay-en-Bray line generally,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place architectural detail,"This second capital detail belongs to the same St. Hildevert architectural discussion. The surrounding text explains that windows and towers were altered, while the interior retained older Norman elements. The carving details help ground future visuals in the actual antiquarian evidence Daniel reproduced.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,615,620
part1_norman_origins/images/dg_part1_p021_st_hildevert_capitals_group.png,Daniel Gurney Complete in PDF first half.pdf,21,Printed p.13,Capitals and sculptural bands in St. Hildevert,Early Lords of Gournay; Gournay-en-Bray line generally,"Church of St. Hildevert, Gournay-en-Bray",Direct ancestral-place architectural detail,"Daniel quotes Dawson Turner/Cotman to say that St. Hildevert has an unusually remarkable set of capitals, including repeated projecting rims with undulating lines that may represent water. This grouped crop captures several such motifs. It is especially valuable for reconstruction work because the text supplies an interpretive motif - water-like undulating carving - that can guide later images.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1831,2100
part1_norman_origins/images/dg_part1_p023_church_notre_dame_gournay.png,Daniel Gurney Complete in PDF first half.pdf,23,Printed p.15,"Church of Notre Dame, Gournay",Early Lords of Gournay; Hugh de Gournay IV/V related elder line context,"Notre Dame, Gournay-en-Bray",Direct ancestral-town context,"The adjacent text says the church of Notre Dame at Gournay was destroyed in the French Revolution, was said to have been built by the ancient lords of the place, and contained a monument to one of them and his wife. Although the monument is attributed by local history to Hugh IV and Milisandra - the elder related line after the direct split - the church itself belongs to the ancestral townscape of Gournay.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1000,1055
part1_norman_origins/images/dg_part1_p027_norman_gournay_and_comparison_arms.png,Daniel Gurney Complete in PDF first half.pdf,27,Printed p.19,Arms of the Barons de Gournay and comparison shields,Norman Barons de Gournay; early direct Gournay line through Gerard (G32),Gournay-en-Bray; Normandy,Direct-line heraldic context,"Daniel states that the Histoire MS. de Gournay reports the Norman Barons de Gournay bore a plain sable shield, then compares other families that bore plain shields. The image is directly relevant to the earliest family heraldic tradition and should be kept even though Daniel also notes uncertainty around very early hereditary coats of arms.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1743,1220
part1_norman_origins/images/dg_part1_p028_arms_town_gournay.png,Daniel Gurney Complete in PDF first half.pdf,28,Printed p.20,Arms of the town of Gournay,Norman Barons de Gournay; related to Arthur of Brittany episode after conquest by Philip Augustus,Town of Gournay-en-Bray,Direct ancestral-town heraldic context,"Daniel explains that after Philip Augustus took Gournay, he conferred knighthood there upon Arthur, Duke of Brittany, and granted the town arms: sable, a knight fully armed on horseback, ermine, with a fleur-de-lis or in chief. The image is town heraldry rather than family arms, but it belongs to the Gournay civic identity created after the family lost Normandy.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,988,1320
part1_norman_origins/images/dg_part1_p035_plan_gournay_fortress.png,Daniel Gurney Complete in PDF first half.pdf,35,Printed p.25,Plan of Gournay du temps de nos anciens contes,Eudes (working G37); early Lords of Gournay; Hugh traditional fortifier,Gournay fortress; Tour Hue; Chateau; Porte de Ferrieres; Epte marsh setting,Direct ancestral-fortress plan,"The surrounding text discusses the fortifications traditionally attributed to Hugh, son of Eudes, including a citadel near St. Hildevert, double or triple ditching, walls, and the Tour Hue. The plan shows the chateau, town gates, marsh/overflow defenses, and approaches. This is one of the strongest images for reconstructing Gournay as a frontier fortress rather than merely a town.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1507,1880
part1_norman_origins/images/dg_part1_p038_church_la_ferte.png,Daniel Gurney Complete in PDF first half.pdf,38,Printed p.28,Church of La Ferte,"Renaud (working G36); Gautier de La Ferte, related younger line; Hugh I (working G35)",La Ferte-en-Bray; Pays de Bray,Direct-family branch / ancestral-region context,"Daniel treats La Ferte as a younger-branch Gournay fief held by Gautier de La Ferte, son of Renaud and brother of Hugh I. The adjacent narrative says Gautier founded the priory at La Ferte between 989 and 996, making this a very early documentary anchor for the family. It is not the main direct line after Renaud, but it is very close to the direct family origin.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1598,1100
part1_norman_origins/images/dg_part1_p038_earthworks_castle_la_ferte.png,Daniel Gurney Complete in PDF first half.pdf,38,Printed p.28,Earthworks of the Castle of La Ferte,Renaud (working G36); Gautier de La Ferte branch; Hugh I (working G35),La Ferte-en-Bray; Pays de Bray,Direct-family branch / ancestral-region fortification,"The La Ferte earthworks are tied to the same early branch as the church image. Daniel explains that the lordship and priory at La Ferte belong to the early family structure, with a younger son receiving La Ferte, Gaillefontaine, and smaller estates while the elder held Gournay. This supports future visuals of the wider Gournay territorial network.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1143,796
